road,lat,lon,chainage,length,condition,name,model_type,id,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT
N1,23.69873866,90.4588610799999,0,1800.0,-,,sourcesink,10000.0,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,23.69873866,90.4588610799999,1800.0,11.3,A,.,bridge,10001.0,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,23.6967012481818,90.47331799909085,1811.3,3113.7,-,,link,10002.0,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,23.6946638363636,90.4877749181818,4925.0,6.6,A,.,bridge,10003.0,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,23.7003735681818,90.5046510090909,4931.6,3831.3999999999996,-,,link,10004.0,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,23.7060833,90.5215271,8763.0,1.0,-,Road to Sylhet (N2),intersection,10005.0,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,23.70557159628375,90.52237062317565,8764.0,212.0,-,,link,10006.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.7050598925675,90.5232141463513,8976.0,394.23,A,Kanch pur Bridge.,bridge,10007.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.6997252533518,90.5303941119191,9370.23,1509.7700000000004,-,,link,10008.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.6943906141361,90.5375740774869,10880.0,6.3,A,NOYAPARA CULVERT,bridge,10009.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.694346500525953,90.53764072472475,10886.3,10.700000000000728,-,,link,10010.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.6943023869158,90.5377073719626,10897.0,6.3,A,ADUPUR CULVERT,bridge,10011.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.693331269392452,90.5393128808411,10903.3,392.7000000000007,-,,link,10012.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.6923601518691,90.5409183897196,11296.0,8.3,A,NAYABARI KASPUR BOX CULVERT,bridge,10013.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.69138822593455,90.5437506948598,11304.3,631.7000000000007,-,,link,10014.0,174.0,4965.0,3478.0,3296.0,2791.0,2787.0,345.0,2105.0,3154.0,1154.0,517.0,1531.0,0.0,22591.0,2048.0,24589.0
N1,23.6904163,90.546583,11936.0,1.0,-,Right to Syedpur (R113) left to Joydebpur N105),intersection,10015.0,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,23.6894143130102,90.54757076454081,11937.0,302.0,-,,link,10016.0,308.0,5253.0,3221.0,2880.0,2408.0,2787.0,393.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,23.6884123260204,90.5485585290816,12239.0,9.3,A,KHAS PARA BOX CULVERT,bridge,10017.0,308.0,5253.0,3221.0,2880.0,2408.0,2787.0,393.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,23.6883660295918,90.5486041683673,12248.3,4.700000000000728,-,,link,10018.0,308.0,5253.0,3221.0,2880.0,2408.0,2787.0,393.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,23.6883197331632,90.548649807653,12253.0,6.1,A,DAWAN BAG BOX CULVERT,bridge,10019.0,308.0,5253.0,3221.0,2880.0,2408.0,2787.0,393.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,23.686951380095103,90.54992889436701,12259.1,400.89999999999964,-,,link,10020.0,308.0,5253.0,3221.0,2880.0,2408.0,2787.0,393.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
